결정례일련번호,구분,문장번호,내용
15981,전문,1,사      건      2011헌○  재판취소(재심)청  구  인      최 ○ 일
15981,전문,2,재심대상결정      헌법재판소 2011.5.17.
15981,전문,3,2011헌마235 결정
15981,전문,4,주      문
15981,전문,5,이 사건 심판청구를 각하한다.
15981,전문,6,이      유
15981,전문,7,1.사건의 개요
15981,전문,8,가.청구인은 자기 소유의 전북 고창읍 ○○리 답 674㎡의 토지를 고○이 무단 점유하였다고 주장하면서 고○을 피고로 부당이득반환의 소를 제기하여 제1심에서 승소하였으나(전주지방법원 정읍지원 2000.9.7.
15981,전문,9,"선고 2000가단2717 판결), 제2심(전주지방법원 2001.9.12."
15981,전문,10,선고 2000나7779 판결)및 제3심(대법원 2002.1.8.
15981,전문,11,"선고 2001다67904 판결)에서 패소하였고, 재심을 청구하였으나 이 역시 각하되었다(대법원 2006.9.28."
15981,전문,12,선고 2006재다447 판결).
15981,전문,13,나.그 후 청구인은 고○ 및 대한민국을 피고로 하여 손해배상을 구하는 소를 제기하였으나 제1심(전주지방법원 정읍지원 2008.5.8.
15981,전문,14,"선고 2007가합274 판결), 제2심{광주고등법원(전주부)2008.11.28."
15981,전문,15,"선고 2008나1625 판결}, 제3심(대법원 2009.3.12."
15981,전문,16,"선고 2009다709 판결)에서 모두 패소하였고, 거듭 재심을 구하였으나 모두 기각 내지 각하되었다(대법원 2010.1.14."
15981,전문,17,"선고 2009재다1120 판결, 대법원 2010.5.13."
15981,전문,18,"선고 2010재다109 판결, 대법원 2011.3.24."
15981,전문,19,선고 2010재다840 판결).
15981,전문,20,"한편, 고○은 청구인을 피고로 위 토지에 대한 소유권이전등기를 구하는 소를 제기하여 승소하였다(전주지방법원 정읍지원 2008.5.8."
15981,전문,21,선고 2008가합165 판결).
15981,전문,22,다.청구인은 위 판결들이 모두 부당하다는 취지로 주장하면서 2011.4.28.
15981,전문,23,"위 판결들의 취소 및 부당이득금 상당액의 반환을 구하는 헌법소원심판을 청구하였으나, 헌법재판소는 2011.5.17."
15981,전문,24,청구인의 심판청구는 헌법소원의 대상이 되지 않는 재판 등에 대하여 심판을 구하는 것으로서 부적법하다며 각하하였다(헌재 2011.5.17.
15981,전문,25,2011헌마235).
15981,전문,26,라.이에 청구인은 2011.6.1.
15981,전문,27,위 2011.5.17.
15981,전문,28,2011헌마235 결정(이하 ‘이 사건 재심대상결정’이라 한다)의 취소를 구하는 이 사건 헌법소원심판을 청구하였다.
15981,전문,29,2.판단
15981,전문,30,"청구인은, 헌법재판소가 이 사건 재심대상결정에서 청구인의 위증 및 취득시효 주장 등에 대하여 판단하지 않은 것이 판단유탈이라는 취지로 주장한다.살피건대, 이 사건 재심대상결정의 이유는, 청구인의 심판청구가 헌법소원의 대상이 될 수 없는 재판 등을 대상으로 한 것이어서 청구인이 주장하는 사유에 대하여 판단하기에 앞서 그 자체로서 부적법하므로 그 심판청구를 각하한다는 것이었는바, 그렇다면 이 사건 재심대상결정이 청구인이 주장하는 위증 및 취득시효 등에 대하여 판단하지 않았다 하여 이를 들어 ‘판결에 영향을 미칠 중요한 사항에 관하여 판단을 누락한 때’에 해당한다고 할 수는 없고, 또 청구인이 주장하는 내용이 헌법소원심판에 대한 재심의 성질상 허용되는 재심사유에 해당한다고 볼 수도 없다(헌재 2007.6.19."
15981,전문,31,2007헌아51 참조).
15981,전문,32,3.결론
15981,전문,33,그렇다면 이 사건 심판청구는 부적법하고 그 흠결을 보정할 수 없는 경우에 해당하므로 헌법재판소법 제72조 제3항 제4호에 따라 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
15981,전문,34,2011.6.14.
