법령일련번호,MST,구분,문장번호,내용
009353,257831,조문,1,제1장 총칙
009353,257831,조문,2,제1조(목적) 이 법은 건강기능식품의 안전성 확보 및 품질 향상과 건전한 유통ㆍ판매를 도모함으로써 국민의 건강 증진과 소비자 보호에 이바지함을 목적으로 한다.
009353,257831,조문,3,제2조(책무)
009353,257831,항,4,"① 국가와 지방자치단체는 모든 국민이 질 좋은 건강기능식품과 이에 관한 올바른 정보를 제공받을 수 있도록 합리적인 정책을 마련하고, 건강기능식품을 제조ㆍ가공ㆍ소분ㆍ조합ㆍ수입ㆍ판매하는 자(이하 ""영업자""라 한다)를 지도ㆍ관리하여야 한다. <개정 2024.1.2>"
009353,257831,항,5,② 영업자는 관계 법령에서 정하는 바에 따라 질 좋은 건강기능식품을 안전하고 건전하게 공급하여야 한다.
009353,257831,조문,6,"제3조(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다. <개정 2015.2.3, 2024.1.2>"
009353,257831,항,7,
009353,257831,호,8,"1. ""건강기능식품""이란 인체에 유용한 기능성을 가진 원료나 성분을 사용하여 제조(가공을 포함한다. 이하 같다)한 식품을 말한다."
009353,257831,호,9,"1의2. ""맞춤형건강기능식품""이란 제조 또는 수입된 한 종류 이상의 건강기능식품을 개인의 필요 등에 따라 소분ㆍ조합한 것을 말한다."
009353,257831,호,10,"2. ""기능성""이란 인체의 구조 및 기능에 대하여 영양소를 조절하거나 생리학적 작용 등과 같은 보건 용도에 유용한 효과를 얻는 것을 말한다."
009353,257831,호,11,3. 삭제 <2018.3.13>
009353,257831,호,12,4. 삭제 <2018.3.13>
009353,257831,호,13,"5. ""영업""이란 건강기능식품(맞춤형건강기능식품을 포함한다. 이하 같다)을 판매의 목적으로 제조 또는 수입하거나 판매(불특정 다수에게 무상으로 제공하는 것을 포함한다. 이하 같다)하는 업(業)을 말한다."
009353,257831,호,14,"6. ""건강기능식품이력추적관리""란 건강기능식품을 제조하는 단계부터 판매하는 단계까지 각 단계별로 정보를 기록ㆍ관리하여 해당 건강기능식품의 안전성 등에 문제가 발생할 경우 해당 건강기능식품을 추적하여 원인을 규명하고 필요한 조치를 할 수 있도록 관리하는 것을 말한다."
009353,257831,조문,15,제2장 영업
009353,257831,조문,16,제4조(영업의 종류 및 시설기준)
009353,257831,항,17,① 다음 각 호의 어느 하나에 해당하는 영업을 하려는 자는 총리령으로 정하는 기준에 맞는 시설을 갖추어야 한다. <개정 2024.1.2>
009353,257831,호,18,1. 건강기능식품제조업
009353,257831,호,19,2. 삭제 <2015.2.3>
009353,257831,호,20,3. 건강기능식품판매업
009353,257831,호,21,4. 맞춤형건강기능식품판매업
009353,257831,항,22,② 제1항에 따른 영업의 세부 종류와 그 범위는 대통령령으로 정한다.
009353,257831,조문,23,제5조(영업의 허가 등)
009353,257831,항,24,① 제4조제1항제1호에 따른 건강기능식품제조업을 하려는 자는 총리령으로 정하는 바에 따라 영업소별로 식품의약품안전처장의 허가를 받아야 한다. 대통령령으로 정하는 사항을 변경하려는 경우에도 또한 같다. <개정 2015.5.18>
009353,257831,항,25,② 제1항에 따라 허가를 받은 자가 그 영업을 폐업하거나 허가받은 사항 중 총리령으로 정하는 사항을 변경하려는 경우에는 식품의약품안전처장에게 신고하여야 한다.
009353,257831,항,26,"③ 식품의약품안전처장은 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 제1항에 따른 허가를 하여야 한다. <신설 2015.5.18, 2016.2.3>"
009353,257831,호,27,1. 제4조에 따른 시설기준을 갖추지 못한 경우
009353,257831,호,28,2. 제9조제1항 각 호의 어느 하나에 해당하는 경우
009353,257831,호,29,3. 제12조제1항에 따른 품질관리인을 선임하지 아니한 경우(제12조제1항 단서에 해당하는 경우는 제외한다)
009353,257831,호,30,4. 제13조제2항에 따른 건강기능식품의 안전성 확보 및 품질관리에 관한 교육을 받지 아니한 경우(제13조제2항 단서에 해당하는 경우는 제외한다)
009353,257831,호,31,4의2. 제22조에 따른 우수건강기능식품제조기준에 맞지 아니하는 경우
009353,257831,호,32,5. 그 밖에 이 법 또는 다른 법령에 따른 제한에 위반되는 경우
009353,257831,항,33,"④ 식품의약품안전처장은 제1항에 따른 허가 신청을 받은 날부터 20일 이내에, 제2항에 따른 변경신고를 받은 날부터 7일 이내에 허가 또는 신고수리 여부를 신청인 또는 신고인에게 통지하여야 한다. <신설 2019.1.15>"
009353,257831,항,34,⑤ 식품의약품안전처장이 제4항에서 정한 기간 내에 허가 또는 신고수리 여부나 민원 처리 관련 법령에 따른 처리기간의 연장을 신청인 또는 신고인에게 통지하지 아니하면 그 기간(민원 처리 관련 법령에 따라 처리기간이 연장 또는 재연장된 경우에는 해당 처리기간을 말한다)이 끝난 날의 다음 날에 허가 또는 신고를 수리한 것으로 본다. <신설 2019.1.15>
009353,257831,항,35,"⑥ 제1항과 제2항에 따른 영업의 허가, 변경허가 및 변경신고의 절차 등에 관하여 필요한 사항은 총리령으로 정한다. <개정 2015.5.18, 2019.1.15>"
009353,257831,조문,36,제6조(영업의 신고 등)
009353,257831,항,37,① 삭제 <2015.2.3>
009353,257831,항,38,"② 제4조제1항제3호에 따른 건강기능식품판매업을 하려는 자는 총리령으로 정하는 바에 따라 영업소별로 제4조에 따른 시설을 갖추고 영업소의 소재지를 관할하는 특별자치시장ㆍ특별자치도지사ㆍ시장ㆍ군수ㆍ구청장에게 신고하여야 한다. 다만, 「약사법」 제20조에 따라 개설등록한 약국 또는 제4조제1항제4호에 따른 맞춤형건강기능식품판매업 영업자의 영업소에서 건강기능식품을 판매하는 경우에는 그러하지 아니하다. <개정 2024.1.2>"
009353,257831,항,39,"③ 제4조제1항제4호에 따른 맞춤형건강기능식품판매업을 하려는 자는 총리령으로 정하는 바에 따라 영업소별로 제4조에 따른 시설을 갖추고 식품의약품안전처장에게 신고하여야 한다. 다만, 「약사법」 제20조에 따라 개설등록한 약국에서 맞춤형건강기능식품을 판매하는 경우에는 그러하지 아니하다. <신설 2024.1.2>"
009353,257831,항,40,"④ 제2항 또는 제3항에 따라 신고를 한 자가 그 영업을 폐업하거나 총리령으로 정하는 사항을 변경하려는 경우에는 식품의약품안전처장 또는 특별자치시장ㆍ특별자치도지사ㆍ시장ㆍ군수ㆍ구청장에게 신고하여야 한다. <개정 2015.2.3, 2024.1.2>"
